component	source_inside_executable	bytes	sha256	file_version	authenticode_status	signer_subject	signer_thumbprint
Microsoft Universal CRT 10.0.17134.12	api-ms-win-core-processenvironment-l1-1-0.dll	11496	173bbf24f7420db3d1e53e45dd0179b9b152bc6d08f3d46eb9d47a833a46cb0a	10.0.17134.12 (WinBuild.160101.0800)	Valid	CN="Eclipse.org Foundation, Inc.", O="Eclipse.org Foundation, Inc.", L=Ottawa, S=Ontario, C=CA	78D53D67B05B47CE95E73A3D98EBC8B791860023
Microsoft Universal CRT 10.0.17134.12	api-ms-win-core-processthreads-l1-1-0.dll	12520	c1ed94eade0309c4c4f0854f5a972bf76d55393857e45c770e217a996103aa62	10.0.17134.12 (WinBuild.160101.0800)	Valid	CN="Eclipse.org Foundation, Inc.", O="Eclipse.org Foundation, Inc.", L=Ottawa, S=Ontario, C=CA	78D53D67B05B47CE95E73A3D98EBC8B791860023
Microsoft Universal CRT 10.0.17134.12	api-ms-win-core-processthreads-l1-1-1.dll	10984	9e2744bc1f7fa7015881c5edc7f14b031472ca1a08c57c38325cbf7736890be0	10.0.17134.12 (WinBuild.160101.0800)	Valid	CN="Eclipse.org Foundation, Inc.", O="Eclipse.org Foundation, Inc.", L=Ottawa, S=Ontario, C=CA	78D53D67B05B47CE95E73A3D98EBC8B791860023
Microsoft Universal CRT 10.0.17134.12	api-ms-win-core-profile-l1-1-0.dll	9960	5ef9cd62cf2a2b0cb068126d9c680016c9e1f3b738a284325b9796c86af06594	10.0.17134.12 (WinBuild.160101.0800)	Valid	CN="Eclipse.org Foundation, Inc.", O="Eclipse.org Foundation, Inc.", L=Ottawa, S=Ontario, C=CA	78D53D67B05B47CE95E73A3D98EBC8B791860023
Microsoft Universal CRT 10.0.17134.12	api-ms-win-core-rtlsupport-l1-1-0.dll	10984	a50682fdd5a5ae9ceb02c7b9caffdce10e3b38178ebe3e74b6323627fc6d3a89	10.0.17134.12 (WinBuild.160101.0800)	Valid	CN="Eclipse.org Foundation, Inc.", O="Eclipse.org Foundation, Inc.", L=Ottawa, S=Ontario, C=CA	78D53D67B05B47CE95E73A3D98EBC8B791860023
Microsoft Universal CRT 10.0.17134.12	api-ms-win-core-string-l1-1-0.dll	10472	b4c44d1ee830c37ae96b90b0a119b4e137862f45314454a23b81fd3a2399a635	10.0.17134.12 (WinBuild.160101.0800)	Valid	CN="Eclipse.org Foundation, Inc.", O="Eclipse.org Foundation, Inc.", L=Ottawa, S=Ontario, C=CA	78D53D67B05B47CE95E73A3D98EBC8B791860023
Microsoft Universal CRT 10.0.17134.12	api-ms-win-core-synch-l1-1-0.dll	12520	3f554614aba0bf193d101495b88fb5e3e6abc8e8c1f45dcc8053265fbc6b0a8c	10.0.17134.12 (WinBuild.160101.0800)	Valid	CN="Eclipse.org Foundation, Inc.", O="Eclipse.org Foundation, Inc.", L=Ottawa, S=Ontario, C=CA	78D53D67B05B47CE95E73A3D98EBC8B791860023
Microsoft Universal CRT 10.0.17134.12	api-ms-win-core-synch-l1-2-0.dll	10984	0c764d9856bbedd7ea95e3427790fdb0c3c270c1a97fa3e0d085d77bd684537d	10.0.17134.12 (WinBuild.160101.0800)	Valid	CN="Eclipse.org Foundation, Inc.", O="Eclipse.org Foundation, Inc.", L=Ottawa, S=Ontario, C=CA	78D53D67B05B47CE95E73A3D98EBC8B791860023
Microsoft Universal CRT 10.0.17134.12	api-ms-win-core-sysinfo-l1-1-0.dll	11496	dad6738302efa9875f8c929c6c375cf15942a2cd6205b42166cde543f59697fd	10.0.17134.12 (WinBuild.160101.0800)	Valid	CN="Eclipse.org Foundation, Inc.", O="Eclipse.org Foundation, Inc.", L=Ottawa, S=Ontario, C=CA	78D53D67B05B47CE95E73A3D98EBC8B791860023
Microsoft Universal CRT 10.0.17134.12	api-ms-win-core-timezone-l1-1-0.dll	10984	e25a1056beef787a1857541714d3ced677bc29257ddb70643a3f332d7081e24b	10.0.17134.12 (WinBuild.160101.0800)	Valid	CN="Eclipse.org Foundation, Inc.", O="Eclipse.org Foundation, Inc.", L=Ottawa, S=Ontario, C=CA	78D53D67B05B47CE95E73A3D98EBC8B791860023
Microsoft Universal CRT 10.0.17134.12	api-ms-win-core-util-l1-1-0.dll	10472	fcbc8a6d4fcfda1df56188c7415874ac6e163aa5669da8b4dc5817411c7499b0	10.0.17134.12 (WinBuild.160101.0800)	Valid	CN="Eclipse.org Foundation, Inc.", O="Eclipse.org Foundation, Inc.", L=Ottawa, S=Ontario, C=CA	78D53D67B05B47CE95E73A3D98EBC8B791860023
Microsoft Universal CRT 10.0.17134.12	api-ms-win-crt-conio-l1-1-0.dll	11496	8eb4ad287946765485ae35ca7fabb29844293412b01678d7c29d53688db80499	10.0.17134.12 (WinBuild.160101.0800)	Valid	CN="Eclipse.org Foundation, Inc.", O="Eclipse.org Foundation, Inc.", L=Ottawa, S=Ontario, C=CA	78D53D67B05B47CE95E73A3D98EBC8B791860023
Microsoft Universal CRT 10.0.17134.12	api-ms-win-crt-convert-l1-1-0.dll	14568	9818a2278ce39e0ecffa9bd2502fed106f9f2c6acaf801fb7d7df80606abc2ab	10.0.17134.12 (WinBuild.160101.0800)	Valid	CN="Eclipse.org Foundation, Inc.", O="Eclipse.org Foundation, Inc.", L=Ottawa, S=Ontario, C=CA	78D53D67B05B47CE95E73A3D98EBC8B791860023
Microsoft Universal CRT 10.0.17134.12	api-ms-win-crt-environment-l1-1-0.dll	10984	0bfca5c3f717d1373e3faf94dd3d010a6976ae2d57cb35a197c5bbac80724b10	10.0.17134.12 (WinBuild.160101.0800)	Valid	CN="Eclipse.org Foundation, Inc.", O="Eclipse.org Foundation, Inc.", L=Ottawa, S=Ontario, C=CA	78D53D67B05B47CE95E73A3D98EBC8B791860023
Microsoft Universal CRT 10.0.17134.12	api-ms-win-crt-filesystem-l1-1-0.dll	12520	8ec445f97325160b291ca8046c1cba997067e42e4095f724bda9b43ae13bfed7	10.0.17134.12 (WinBuild.160101.0800)	Valid	CN="Eclipse.org Foundation, Inc.", O="Eclipse.org Foundation, Inc.", L=Ottawa, S=Ontario, C=CA	78D53D67B05B47CE95E73A3D98EBC8B791860023
Microsoft Universal CRT 10.0.17134.12	api-ms-win-crt-heap-l1-1-0.dll	11496	da3fcc1283339ddd4504e48a63f75e4f8ac8f30ce48384e7c643b80b372bfcd6	10.0.17134.12 (WinBuild.160101.0800)	Valid	CN="Eclipse.org Foundation, Inc.", O="Eclipse.org Foundation, Inc.", L=Ottawa, S=Ontario, C=CA	78D53D67B05B47CE95E73A3D98EBC8B791860023
Microsoft Universal CRT 10.0.17134.12	api-ms-win-crt-locale-l1-1-0.dll	10984	25420d595989c800fe5f274aebf32e74f2e670e1d08bc5336ed67de9e1b1d62c	10.0.17134.12 (WinBuild.160101.0800)	Valid	CN="Eclipse.org Foundation, Inc.", O="Eclipse.org Foundation, Inc.", L=Ottawa, S=Ontario, C=CA	78D53D67B05B47CE95E73A3D98EBC8B791860023
Microsoft Universal CRT 10.0.17134.12	api-ms-win-crt-math-l1-1-0.dll	19688	8324e803620d6c7a57d644efb951b5b811d258f85195f71404198456d6a20da6	10.0.17134.12 (WinBuild.160101.0800)	Valid	CN="Eclipse.org Foundation, Inc.", O="Eclipse.org Foundation, Inc.", L=Ottawa, S=Ontario, C=CA	78D53D67B05B47CE95E73A3D98EBC8B791860023
Microsoft Universal CRT 10.0.17134.12	api-ms-win-crt-process-l1-1-0.dll	11496	201b8ed6e586afb1ae44ca4da8d4a923bcf87889a8dea0c0921f995839ec41c0	10.0.17134.12 (WinBuild.160101.0800)	Valid	CN="Eclipse.org Foundation, Inc.", O="Eclipse.org Foundation, Inc.", L=Ottawa, S=Ontario, C=CA	78D53D67B05B47CE95E73A3D98EBC8B791860023
Microsoft Universal CRT 10.0.17134.12	api-ms-win-crt-runtime-l1-1-0.dll	15080	0210604c8dd1e9aa8c2458e2734deff9d77897d7dfce42bc0f28ad62d265bd9b	10.0.17134.12 (WinBuild.160101.0800)	Valid	CN="Eclipse.org Foundation, Inc.", O="Eclipse.org Foundation, Inc.", L=Ottawa, S=Ontario, C=CA	78D53D67B05B47CE95E73A3D98EBC8B791860023
Microsoft Universal CRT 10.0.17134.12	api-ms-win-crt-stdio-l1-1-0.dll	16616	3c4f7104e8257b64b4a856c06dee4ab12e35a5bdfe361b2fc4a04a564454010b	10.0.17134.12 (WinBuild.160101.0800)	Valid	CN="Eclipse.org Foundation, Inc.", O="Eclipse.org Foundation, Inc.", L=Ottawa, S=Ontario, C=CA	78D53D67B05B47CE95E73A3D98EBC8B791860023
Microsoft Universal CRT 10.0.17134.12	api-ms-win-crt-string-l1-1-0.dll	16616	f8bbf236334c083682cd710632005cb6a5a3b60086d05946827eb8ca45e24b8d	10.0.17134.12 (WinBuild.160101.0800)	Valid	CN="Eclipse.org Foundation, Inc.", O="Eclipse.org Foundation, Inc.", L=Ottawa, S=Ontario, C=CA	78D53D67B05B47CE95E73A3D98EBC8B791860023
Microsoft Universal CRT 10.0.17134.12	api-ms-win-crt-time-l1-1-0.dll	13032	5e2f92250a058802b4a72b93226616f390044c6bfe34a04b5533773806f7072e	10.0.17134.12 (WinBuild.160101.0800)	Valid	CN="Eclipse.org Foundation, Inc.", O="Eclipse.org Foundation, Inc.", L=Ottawa, S=Ontario, C=CA	78D53D67B05B47CE95E73A3D98EBC8B791860023
Microsoft Universal CRT 10.0.17134.12	api-ms-win-crt-utility-l1-1-0.dll	10984	8e32928cab5e81b35b232754a5ccf78cc55d6bc8fe362a90ab6d5eab1fe8f5d9	10.0.17134.12 (WinBuild.160101.0800)	Valid	CN="Eclipse.org Foundation, Inc.", O="Eclipse.org Foundation, Inc.", L=Ottawa, S=Ontario, C=CA	78D53D67B05B47CE95E73A3D98EBC8B791860023
CPython 3.8.10 embeddable distribution	base_library.zip	843910	25b9e038ab3ccaafba554e90d5b6198a34e064d5c332a89ffc960fba278deb8a				
binary2strings 0.1.13	binary2strings.cp38-win_amd64.pyd	376832	c8f87d2de53c4146ce708052064e0cf73d6e56336af225fd83dccac05b6526ab		NotSigned		
python-flirt 0.8.10	flirt\flirt.cp38-win_amd64.pyd	424960	f38e6f975b358feaee3aeae97f063824673098d39b174e934f89add061aa43ce		NotSigned		
OpenSSL 1.1.1k	libcrypto-1_1.dll	3406016	296426e7ce11bc3d1cfa9f2aeb42f60c974da4af3b3efbeb0ba40e92e5299fdf	1.1.1k	Valid	CN=Python Software Foundation, O=Python Software Foundation, L=Wolfeboro, S=New Hampshire, C=US	C91DCECB3A92A17B063059200B20F5CE251B5A95
libffi 3.3 / CPython 3.8.10 embeddable distribution	libffi-7.dll	32792	f60dd9f2fcbd495674dfc1555effb710eb081fc7d4cae5fa58c438ab50405081		Valid	CN=Python Software Foundation, O=Python Software Foundation, L=Wolfeboro, S=New Hampshire, C=US	C91DCECB3A92A17B063059200B20F5CE251B5A95
OpenSSL 1.1.1k	libssl-1_1.dll	690368	fddd0da02dcd41786e9aa04ba17ba391ce39dae6b1f54cfa1e2bb55bc753fce9	1.1.1k	Valid	CN=Python Software Foundation, O=Python Software Foundation, L=Wolfeboro, S=New Hampshire, C=US	C91DCECB3A92A17B063059200B20F5CE251B5A95
msgpack 1.0.8	msgpack\_cmsgpack.cp38-win_amd64.pyd	134656	31bbfe73562f4815174ba7ef860088545d411cd4b667cc7594a3f322ea9e8b81		NotSigned		
Microsoft Visual C++ runtime	MSVCP140_CODECVT_IDS.dll	31744	d52d349fbbe6abc61965c07e04cc82d8ee0cea1de7faf90a838964e3f40acedd	14.40.33810.0	Valid	CN=Microsoft Windows Software Compatibility Publisher, O=Microsoft Corporation, L=Redmond, S=Washington, C=US	C7D1B94B5229407F8903132FBCC8ECEC00DAA887
Microsoft Visual C++ runtime	MSVCP140.dll	618728	32e6c8100bd62e7a91f50996c2a59692dc796b6f140a2dfa4de313ca43d4c748	14.16.27033.0 built by: vcwrkspc	Valid	CN="Eclipse.org Foundation, Inc.", O="Eclipse.org Foundation, Inc.", L=Ottawa, S=Ontario, C=CA	78D53D67B05B47CE95E73A3D98EBC8B791860023
pydantic-core 2.23.3	pydantic_core\_pydantic_core.cp38-win_amd64.pyd	5046272	28cd4b7ad94650c7d547d4281a986e2cd61cac9a077f0d0ef5d8a05e6aad490c		NotSigned		
CPython 3.8.10 embeddable distribution	pyexpat.pyd	192176	5caf51f12406bdb980db1361fab79c51be8cac0a2a0071a083adf4d84f423e95	3.8.10	Valid	CN=Python Software Foundation, O=Python Software Foundation, L=Wolfeboro, S=New Hampshire, C=US	C91DCECB3A92A17B063059200B20F5CE251B5A95
CPython 3.8.10 embeddable distribution	python38.dll	4211376	2f3e368f5bcc1dda5e951682008a509751e6395f7328fd0f02c4e1a11f67c128	3.8.10	Valid	CN=Python Software Foundation, O=Python Software Foundation, L=Wolfeboro, S=New Hampshire, C=US	C91DCECB3A92A17B063059200B20F5CE251B5A95
CPython 3.8.10 embeddable distribution	select.pyd	27824	fcc2e09a2355a5546922874fb4cac92ee00a33c0ed6adbc440d128d1e9f4ec28	3.8.10	Valid	CN=Python Software Foundation, O=Python Software Foundation, L=Wolfeboro, S=New Hampshire, C=US	C91DCECB3A92A17B063059200B20F5CE251B5A95
Microsoft Universal CRT 10.0.17134.12	ucrtbase.dll	1008360	81c9b5d54e1b1da192f4a167f7e06439e36c670a99af2f1ef056e0959e85de57	10.0.17134.12 (WinBuild.160101.0800)	Valid	CN="Eclipse.org Foundation, Inc.", O="Eclipse.org Foundation, Inc.", L=Ottawa, S=Ontario, C=CA	78D53D67B05B47CE95E73A3D98EBC8B791860023
CPython 3.8.10 embeddable distribution	unicodedata.pyd	1097904	d8091e62c74e1b2b648086f778c3c41ce01f09661a75ea207d3fea2cf26a8762	3.8.10	Valid	CN=Python Software Foundation, O=Python Software Foundation, L=Wolfeboro, S=New Hampshire, C=US	C91DCECB3A92A17B063059200B20F5CE251B5A95
Microsoft Visual C++ runtime	VCRUNTIME140_1.dll	36728	b1d3b6b3cdeb5b7b8187767cd86100b76233e7bbb9acf56c64f8288f34b269ca	14.28.29914.0 built by: vcwrkspc	Valid	CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US	ABDCA79AF9DD48A0EA702AD45260B3C03093FB4B
Microsoft Visual C++ runtime	VCRUNTIME140.dll	96120	6a0850419432735a98e56857d5cfce97e9d58a947a9863ca6afadd1c7bcab27c	14.28.29914.0 built by: vcwrkspc	Valid	CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US	ABDCA79AF9DD48A0EA702AD45260B3C03093FB4B
