package	version	checksum_sha256	archive_bytes	declared_license	repository
ort	2.0.0-rc.12	d7de3af33d24a745ffb8fab904b13478438d1cd52868e6f17735ef6e1f8bf133	149216	MIT OR Apache-2.0	https://github.com/pykeio/ort
ort-sys	2.0.0-rc.12	d7b497d21a8b6fbb4b5a544f8fadb77e801a09ae0add9e411d31c6f89e3c1e90	55131	MIT OR Apache-2.0	https://github.com/pykeio/ort
parking	2.2.1	f38d5652c16fde515bb1ecef450ab0f6a219d619a7274976324d5e377f7dceba	10685	Apache-2.0 OR MIT	https://github.com/smol-rs/parking
parking_lot	0.12.5	93857453250e3077bd71ff98b6a65ea6621a19bb0f559a85248955ac12c45a1a	46735	MIT OR Apache-2.0	https://github.com/Amanieu/parking_lot
parking_lot_core	0.9.12	2621685985a2ebf1c516881c026032ac7deafcda1a2c9b7850dc81e3dfcb64c1	34110	MIT OR Apache-2.0	https://github.com/Amanieu/parking_lot
pin-project-lite	0.2.16	3b3cff922bd51709b605d9ead9aa71031d81447142d828eb4a6eba76fe619f9b	30504	Apache-2.0 OR MIT	https://github.com/taiki-e/pin-project-lite
proc-macro2	1.0.101	89ae43fd86e4158d6db51ad8e2b80f313af9cc74f5c0e03ccb87de09998732de	53886	MIT OR Apache-2.0	https://github.com/dtolnay/proc-macro2
quote	1.0.41	ce25767e7b499d1b604768e7cde645d14cc8584231ea6b295e9c9eb22c02e1d1	31408	MIT OR Apache-2.0	https://github.com/dtolnay/quote
rawpointer	0.2.1	60a357793950651c4ed0f3f52338f53b2f809f32d83a07f72909fa13e4c6c1e3	7490	MIT/Apache-2.0	https://github.com/bluss/rawpointer/
ryu	1.0.20	28d3b2b1366ec20994f1fd18c3c594f05c5dd4bc44d8bb0c1c632c8d6829481f	48738	Apache-2.0 OR BSL-1.0	https://github.com/dtolnay/ryu
scopeguard	1.2.0	94143f37725109f92c262ed2cf5e59bce7498c01bcc1502d7b9afe439a4e9f49	11619	MIT OR Apache-2.0	https://github.com/bluss/scopeguard
serde	1.0.228	9a8e94ea7f378bd32cbbd37198a4a91436180c5bb472411e48b5ec2e2124ae9e	83652	MIT OR Apache-2.0	https://github.com/serde-rs/serde
serde_core	1.0.228	41d385c7d4ca58e59fc732af25c3983b67ac852c1a25000afe1175de458b67ad	63111	MIT OR Apache-2.0	https://github.com/serde-rs/serde
serde_derive	1.0.228	d540f220d3187173da220f885ab66608367b6574e925011a9353e4badda91d79	59605	MIT OR Apache-2.0	https://github.com/serde-rs/serde
serde_json	1.0.145	402a6f66d8c709116cf22f558eab210f5a50187f702eb4d7e5ef38d9a7f1c79c	155748	MIT OR Apache-2.0	https://github.com/serde-rs/json
smallvec	1.15.1	67b1b7a3b5fe4f1376887184045fcf45c69e92af734b7aaddc05fb777b6fbd03	38116	MIT OR Apache-2.0	https://github.com/servo/rust-smallvec
socket2	0.6.0	233504af464074f9d066d7b5416c5f9b894a5862a6506e306f7b816cdd6f1807	57974	MIT OR Apache-2.0	https://github.com/rust-lang/socket2
strsim	0.11.1	7da8b5736845d9f2fcb837ea5d9e2628564b3b043a70948a3f0b778838c5fb4f	14266	MIT	https://github.com/rapidfuzz/strsim-rs
syn	2.0.106	ede7c438028d4436d71104916910f5bb611972c5cfd7f89b8300a8186e6fada6	301514	MIT OR Apache-2.0	https://github.com/dtolnay/syn
thiserror	1.0.69	b6aaf5339b578ea85b50e080feb250a3e8ae8cfcdff9a461c9ec2904bc923f52	22198	MIT OR Apache-2.0	https://github.com/dtolnay/thiserror
thiserror-impl	1.0.69	4fee6c4efc90059e10f81e6d42c60a18f76588c3d74cb83a0b242a2b6c7504c1	18365	MIT OR Apache-2.0	https://github.com/dtolnay/thiserror
tokio	1.47.1	89e49afdadebb872d3145a5638b59eb0691ea23e46ca484037cfab3b76b95038	829790	MIT	https://github.com/tokio-rs/tokio
tokio-macros	2.5.0	6e06d43f1345a3bcd39f6a56dbb7dcab2ba47e68e8ac134855e7e2bdbaf8cab8	12617	MIT	https://github.com/tokio-rs/tokio
tracing	0.1.41	784e0ac535deb450455cbfa28a6f0df145ea1bb7ae51b821cf5e7927fdcfbdd0	82448	MIT	https://github.com/tokio-rs/tracing
tracing-core	0.1.34	b9d12581f227e93f094d3af2ae690a574abb8a2b9b7a96e7cfe9647b2b617678	63760	MIT	https://github.com/tokio-rs/tracing
unicode-ident	1.0.19	f63a545481291138910575129486daeaf8ac54aee4387fe7906919f7830c7d9d	47480	(MIT OR Apache-2.0) AND Unicode-3.0	https://github.com/dtolnay/unicode-ident
utf8parse	0.2.2	06abde3611657adf66d383f00b093d7faecc7fa57071cce2578660c9f1010821	13499	Apache-2.0 OR MIT	https://github.com/alacritty/vte
windows_x86_64_msvc	0.52.6	589f6da84c646204747d1270a2a5661ea66ed1cced2631d546fdfb155959f9ec	832564	MIT OR Apache-2.0	https://github.com/microsoft/windows-rs
windows_x86_64_msvc	0.53.0	271414315aff87387382ec3d271b52d7ae78726f5d44ac98b4f4030c91880486	834400	MIT OR Apache-2.0	https://github.com/microsoft/windows-rs
windows-link	0.2.0	45e46c0661abb7180e7b9c281db115305d49ca1709ab8242adf09666d2173c65	6170	MIT OR Apache-2.0	https://github.com/microsoft/windows-rs
windows-sys	0.59.0	1e38bc4d79ed67fd075bcc251a1c39b32a1776bbe92e5bef1f0bf1f8c531853b	2387323	MIT OR Apache-2.0	https://github.com/microsoft/windows-rs
windows-sys	0.60.2	f2f500e4d28234f72040990ec9d39e3a6b950f9f22d3dba18416c35882612bcb	2518479	MIT OR Apache-2.0	https://github.com/microsoft/windows-rs
windows-targets	0.52.6	9b724f72796e036ab90c1021d4780d4d3d648aca59e491e6b98e725b84e99973	6403	MIT OR Apache-2.0	https://github.com/microsoft/windows-rs
windows-targets	0.53.4	2d42b7b7f66d2a06854650af09cfdf8713e427a439c97ad65a6375318033ac4b	7161	MIT OR Apache-2.0	https://github.com/microsoft/windows-rs
